ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-1.8531,7.2209,6.359
-1.8531,7.2209,6.359
-2.5666,7.197,5.6599
-2.8204,7.1108,5.3534
-2.8204,7.1108,5.3534
-1.968,6.7804,4.8937
-1.992,6.8522,5.1188
-1.992,6.8522,5.1188
-1.7526,6.9863,5.1571
-1.7526,6.9863,5.1571
-2.6815,7.0294,4.4772
-2.6815,7.0294,4.4772
-3.1699,6.9719,4.2617
-3.1699,6.9719,4.2617
-3.1699,6.9719,4.2617
-2.4469,6.6798,4.391
-2.1979,7.4891,4.5155
-2.1979,7.4891,4.5155
-2.1979,7.4891,4.5155
-2.6767,7.2209,4.3191
-2.6767,7.2209,4.3191
-2.7054,7.0677,4.3191
-2.7054,7.0677,4.3191
-1.9968,7.2113,4.7645
-1.8531,7.3263,4.9799
-1.8531,7.3263,4.9799
-1.8531,7.3263,4.9799
-2.0446,7.671,5.387
-2.0446,7.671,5.387
-2.4517,7.7093,5.8227
-3.3854,7.5274,5.9903
-3.3854,7.5274,5.9903
-2.1452,8.0589,6.1387
-2.1452,8.0589,6.1387
-2.7438,7.422,6.6319
-1.9872,8.1451,6.5601
-1.9872,8.1451,6.5601
-2.3798,7.7237,6.3829
-2.3798,7.7237,6.3829
-2.897,8.0876,6.5505
-2.897,8.0876,6.5505
-2.0399,8.2935,6.5218
-2.0399,8.2935,6.5218
-3.055,7.9344,6.4212
-2.988,7.7572,6.2584
-2.988,7.7572,6.2584
-2.0925,7.9631,5.7269
-2.5331,7.8434,5.8419
-2.5331,7.8434,5.8419
-1.9489,8.011,5.9999
-1.9489,8.011,5.9999
-3.0071,7.9296,5.4971
-2.964,7.7859,5.2002
-2.964,7.7859,5.2002
-2.5714,7.3263,5.3965
-2.5714,7.3263,5.3965
-1.6472,8.0254,5.636
-1.2402,8.0541,5.2768
-1.2402,8.0541,5.2768
-2.873,7.5609,5.205
-2.873,7.5609,5.205
-1.8004,8.0732,4.8219
-1.8004,8.0732,4.8219
-2.9353,7.4986,4.9464
-2.9353,7.4986,4.9464
-2.6097,7.8003,5.1427
-2.1787,7.671,5.138
-2.1787,7.671,5.138
-2.6432,7.5369,5.5976
-2.6432,7.5369,5.5976
-1.9058,8.3031,5.4444
-1.9058,8.3031,5.4444
-1.4605,8.4036,5.1188
-4.0414,7.1491,5.7652
-4.0414,7.1491,5.7652
-0.8188,8.2217,5.2816
-0.8188,8.2217,5.2816
-0.8188,8.2217,5.2816
-2.624,7.8626,5.9711
-2.624,7.8626,5.9711
-2.988,8.0254,5.8706
-2.988,8.0254,5.8706
-1.719,8.0302,5.2672
-1.719,8.0302,5.2672
-3.2801,7.4029,6.3638
-2.2841,7.5705,6.4117
-2.2841,7.5705,6.4117
-0.9816,8.2265,5.047
-3.2848,7.6567,5.3247
-3.2848,7.6567,5.3247
-2.8012,7.9583,4.9752
-2.8012,7.9583,4.9752
-1.6328,7.6184,4.5394
-1.6328,7.6184,4.5394
-2.3798,7.604,5.9711
-2.3798,7.604,5.9711
-1.8531,7.92,6.1196
-1.6376,8.1355,5.5833
-1.6376,8.1355,5.5833
-3.4237,7.5465,5.6886
-2.15,8.1116,5.3582
-2.15,8.1116,5.3582
-2.2984,7.6567,5.2672
-2.2984,7.6567,5.2672
-2.2553,7.853,5.4444
-2.2553,7.853,5.4444
-2.6863,7.762,5.1715
-2.6863,7.762,5.1715
-2.4277,7.5513,5.5929
-2.4277,7.5513,5.5929
-1.6759,8.1547,5.5929
-1.6759,8.1547,5.5929
-2.9592,7.8434,5.0805
-2.9592,7.8434,5.0805
-3.2274,7.5322,5.4253
-3.2274,7.5322,5.4253
-1.6281,7.4364,5.794
-1.6281,7.4364,5.794
-2.2745,7.7333,6.1004
-2.2745,7.7333,6.1004
-1.7765,8.1211,4.7788
-1.7765,8.1211,4.7788
-4.0462,7.604,4.4867
-4.0462,7.604,4.4867
-2.3607,7.6327,4.8315
-2.3607,7.6327,4.8315
-1.8962,7.2353,5.6886
-1.8962,7.2353,5.6886
-2.624,7.7572,6.0908
-2.624,7.7572,6.0908
-2.7964,7.331,5.4253
-2.7964,7.331,5.4253
-2.6049,7.3263,5.8706
-2.6049,7.3263,5.8706
-2.0351,7.2449,5.8706
-2.0351,7.2449,5.8706
-2.2314,7.6184,5.8227
-2.2314,7.6184,5.8227
-3.0023,7.4124,5.9568
-3.0023,7.4124,5.9568
-2.2697,7.1826,5.6743
-2.2697,7.1826,5.6743
-1.7717,7.446,6.0047
-1.7717,7.446,6.0047
-1.5467,8.0349,5.9376
-1.5467,8.0349,5.9376
-3.2992,6.9049,5.6886
-3.2992,6.9049,5.6886
-2.241,7.4603,5.2241
-1.1253,7.58,4.9656
-1.1253,7.58,4.9656
-2.0734,7.3023,5.5929
-2.0734,7.3023,5.5929
-2.0351,7.8147,5.5306
-2.0351,7.8147,5.5306
-2.0973,7.6758,5.2289
-2.9975,7.6088,5.3151
-2.3224,7.6758,5.4253
-2.3224,7.6758,5.4253
-1.2785,8.1163,5.5833
