ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
3.4477,10.0221,1.245
2.8347,11.1282,-1.0056
2.8347,11.1282,-1.0056
4.9033,8.9878,-0.7422
4.9033,8.9878,-0.7422
5.2529,8.0972,-0.4549
5.0996,8.4084,-1.2402
5.0996,8.4084,-1.2402
5.4779,9.1602,-0.6416
5.4779,9.1602,-0.6416
5.047,9.73,2.0638
5.047,9.73,2.0638
4.5011,9.8162,3.7014
4.5011,9.8162,3.7014
4.5633,10.5345,3.2274
4.5633,10.5345,3.2274
5.3008,11.5975,1.8962
5.3008,11.5975,1.8962
6.5122,12.3254,0.5219
6.5122,12.3254,0.5219
6.8522,12.8856,0.4645
6.8522,12.8856,0.4645
6.6559,13.0819,-0.0192
6.6559,13.0819,-0.0192
7.288,13.556,-3.9169
7.288,13.556,-3.9169
5.8945,12.378,7.3646
5.8945,12.378,7.3646
7.6471,9.8833,-4.9704
7.1778,9.8737,-4.8554
7.1778,9.8737,-4.8554
5.2433,10.1035,-1.47
5.2433,10.1035,-1.47
4.8267,9.2177,1.2641
4.8267,9.2177,1.2641
3.3902,7.7572,1.3264
3.3902,7.7572,1.3264
3.3519,7.1299,0.656
3.3519,7.1299,0.656
3.3519,7.1299,0.656
4.8507,6.6942,0.3879
5.8275,7.3694,0.5602
5.8275,7.3694,0.5602
5.7221,8.078,0.838
5.6455,9.414,-1.5179
5.6455,9.414,-1.5179
5.6455,9.414,-1.5179
6.0478,8.9016,-1.1827
6.0478,8.9016,-1.1827
5.3965,8.3558,1.1588
5.3965,8.3558,1.1588
5.0518,7.8865,1.8387
4.1372,7.7333,0.838
4.1372,7.7333,0.838
3.3471,7.264,-1.7334
3.3471,7.264,-1.7334
2.7677,6.79,-1.8244
2.7677,6.79,-1.8244
2.9257,6.5697,0.2921
2.9257,6.5697,0.2921
3.2848,6.4643,1.81
3.4285,6.3351,1.6376
3.4285,6.3351,1.6376
3.8738,5.8802,1.2019
3.8738,5.8802,1.2019
5.2098,4.5777,1.3072
5.2098,4.5777,1.3072
6.6559,3.7397,1.3264
6.6559,3.7397,1.3264
7.6998,3.7493,0.656
7.6998,3.7493,0.656
6.5649,4.2138,0.3974
5.8993,3.8499,0.8619
5.8993,3.8499,0.8619
4.0941,2.9736,1.0582
4.0941,2.9736,1.0582
3.1029,1.8723,0.838
3.1029,1.8723,0.838
3.1939,1.2498,0.5507
3.1939,1.2498,0.5507
4.7693,2.1404,0.838
4.7693,2.1404,0.838
7.0725,3.5721,0.2442
7.0725,3.5721,0.2442
7.9535,4.8794,-0.6321
7.9535,4.8794,-0.6321
7.9009,5.8466,1.9489
7.9009,5.8466,1.9489
10.3477,10.6686,7.6998
10.3477,10.6686,7.6998
13.7092,17.6836,1.336
13.7092,17.6836,1.336
15.7012,23.7696,0.1053
12.5887,21.3036,0.2203
12.5887,21.3036,0.2203
6.2632,7.1491,-1.9776
6.2632,7.1491,-1.9776
2.9353,3.7493,-0.2107
2.9353,3.7493,-0.2107
2.0925,3.6248,1.4461
2.0925,3.6248,1.4461
3.4237,6.6176,1.5754
3.4237,6.6176,1.5754
3.3998,10.228,1.1396
5.9233,11.8513,0.0575
5.9233,11.8513,0.0575
4.2808,9.4092,1.2737
4.2808,9.4092,1.2737
2.7438,8.9447,2.9544
3.4477,8.8346,2.9449
3.4477,8.8346,2.9449
4.7932,9.3757,2.3176
4.7932,9.3757,2.3176
5.0996,10.3238,1.4605
5.0996,10.3238,1.4605
5.0422,10.1945,-0.1149
5.0422,10.1945,-0.1149
5.047,9.5768,-0.9194
5.047,9.5768,-0.9194
4.5059,8.078,-1.3551
4.5059,8.078,-1.3551
4.5777,6.9288,-0.7183
4.5777,6.9288,-0.7183
4.6974,6.0861,-0.4357
4.6974,6.0861,-0.4357
4.4724,5.8275,0.0335
4.4293,5.7174,0.091
4.4293,5.7174,0.091
4.7836,5.679,0.3496
4.7836,5.679,0.3496
4.889,6.0525,0.3448
4.889,6.0525,0.3448
4.7884,6.6032,0.0575
4.5442,6.7421,-0.0958
